Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2020-08-19 08:54:36 +0530,"Failure",0:00:02,1,0,2,"20200819_085436.100/LogFile.txt","","No Remote Connection -- typetext Error - Remote Connection Unavailable",0
2020-08-19 09:02:29 +0530,"Aborted",0:02:57,1,0,0,"20200819_090229.163/LogFile.txt","","",0
2020-08-19 09:06:32 +0530,"Aborted",0:04:50,1,0,0,"20200819_090632.444/LogFile.txt","","",0
2020-08-19 09:14:31 +0530,"Aborted",0:03:45,1,0,1,"20200819_091431.339/LogFile.txt","","",0
2020-08-19 09:37:13 +0530,"Success",0:04:45,0,0,0,"20200819_093713.599/LogFile.txt","","",1
2020-08-19 12:30:26 +0530,"Aborted",0:00:49,1,0,0,"20200819_123026.427/LogFile.txt","","",0
2020-08-19 12:41:19 +0530,"Aborted",0:00:07,1,0,1,"20200819_124119.312/LogFile.txt","","",0
2020-08-19 13:08:34 +0530,"Aborted",0:02:34,1,0,0,"20200819_130834.955/LogFile.txt","","",0
2020-08-19 13:20:24 +0530,"Aborted",0:04:08,1,0,0,"20200819_132024.965/LogFile.txt","","",0
